"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U3,U4";"TO-263-5_TabPin3";2;"LM2596S-12";;;
2;"U2";"TO127P1435X464-8N";1;"LM2678T-5.0";;;
3;"R1";"R_0201_0603Metric";1;"10k ohm";;;
4;"D2,D1";"D_SMA";2;"SS26";;;
5;"L1";"L_Wuerth_MAPI-4020";1;"22uH";;;
6;"C1,C2,C3";"CAPAE660X850N";3;"15uF/50V";;;
7;"C13,C5,C12";"C_0201_0603Metric";3;"0.01uF";;;
8;"R4";"R_2512_6332Metric";1;"10K Ohm";;;
9;"C11,C8";"CAPAE830X700N";2;"180uF/25V";;;
10;"R2";"R_0201_0603Metric";1;"47k ohm";;;
11;"Q2";"SOT-23-6";1;"DMMT5401";;;
12;"C4";"CAPC3216X152N";1;"0.47uF";;;
13;"BT1";"120591-1";1;"120591-1";;;
14;"C9,C10";"EEHZA1H680P";2;"150uF/35V";;;
15;"U1";"SOIC127P600X175-8N";1;"CAT24C256";;;
16;"U5";"SOIC-16W_7.5x10.3mm_P1.27mm";1;"DS3231M";;;
17;"R3";"R_2512_6332Metric";1;"10K ohm";;;
18;"Q1";"SOT91P240X110-3N";1;"DMG2305UX-13";;;
19;"C7";"CAPPC5958X380N";1;"180uF/16V";;;
20;"L2,L3";"PA4344683NLT";2;"68uH";;;
21;"J2";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"24Vin";;;
22;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry Pi Pinout";;;
23;"J3";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"5Vout";;;
24;"J5,J4";"BarrelJack_CUI_PJ-102AH_Horizontal";2;"Jack-DC";;;
25;"BR1";"VS6TQ045STRLM3";1;"VS-6TQ045-M3";;;
26;"C6";"CAPPC5958X380N";1;"180uF/16v";;;
